software,EAV-PR_BR_OWM,EAV-PR_BR_EWM,EAV-PR_BR_DWM,EAV-PR_OWM,EAV-PR_EWM,EAV-PR_DWM,EAV-g-coreness_OWM,EAV-g-coreness_EWM,EAV-g-coreness_DWM,EAV-PR-ElementRank_OWM,EAV-PR-ElementRank_EWM,EAV-PR-ElementRank_DWM,EAV-PR-ClassRank_OWM,EAV-PR-ClassRank_EWM,EAV-PR-ClassRank_DWM
0.01,9.694444444,7.611111111,8.138888889,9.694444444,7.611111111,8.138888889,6.944444444,7.388888889,7.444444444,6.333333333,7.694444444,9.277777778,7.5,8.277777778,8.25
0.02,10.33333333,8.805555556,8.75,10.33333333,8.805555556,8.75,6.111111111,7.805555556,7.222222222,5.388888889,7.055555556,9.138888889,6.583333333,7.444444444,7.472222222
0.03,10.83333333,9.194444444,9.555555556,10.83333333,9.194444444,9.555555556,5.222222222,7.138888889,6.444444444,5.638888889,6.611111111,8.944444444,6.25,7.111111111,7.472222222
0.04,11.02777778,10.05555556,9.583333333,11.02777778,10.05555556,9.583333333,4.638888889,6.111111111,6.722222222,5.416666667,6.916666667,8.805555556,5.583333333,6.861111111,7.611111111
0.05,11.25,10.36111111,9.111111111,11.25,10.36111111,9.111111111,4.694444444,6.111111111,7.333333333,5.694444444,7.166666667,8.666666667,5.222222222,6.638888889,7.027777778
0.06,10.55555556,10.55555556,9.222222222,10.55555556,10.55555556,9.222222222,4.444444444,6.5,7.833333333,5.472222222,6.916666667,8.694444444,5.472222222,6.444444444,7.555555556
0.07,10.27777778,10.91666667,9.277777778,10.27777778,10.91666667,9.277777778,4.694444444,6.555555556,7.888888889,5.138888889,6.5,8.277777778,5.666666667,6.638888889,7.694444444
0.08,10.27777778,10.94444444,9,10.27777778,10.94444444,9,4.611111111,6.527777778,8.166666667,5.027777778,6.833333333,7.888888889,5.666666667,6.75,8.083333333
0.09,10.27777778,10.80555556,9.305555556,10.27777778,10.80555556,9.305555556,4.611111111,6.416666667,8.111111111,4.638888889,6.916666667,7.944444444,5.527777778,6.666666667,8.388888889
0.1,10.33333333,10.94444444,9.333333333,10.33333333,10.94444444,9.333333333,4.777777778,6.361111111,8.222222222,4.444444444,6.861111111,7.916666667,5.5,6.305555556,8.388888889
0.11,10.38888889,11,9.611111111,10.38888889,11,9.611111111,4.555555556,6.416666667,8.361111111,4.027777778,6.638888889,8.138888889,5.111111111,6.361111111,8.388888889
0.12,10.44444444,11.05555556,9.861111111,10.44444444,11.05555556,9.861111111,4.611111111,6.25,8.333333333,3.944444444,6.388888889,8.027777778,5.111111111,6.25,8.361111111
0.13,10.5,10.94444444,10.22222222,10.5,10.94444444,10.22222222,4.5,5.888888889,8.527777778,3.833333333,6.416666667,7.75,5.222222222,6.194444444,8.333333333
0.14,10.72222222,10.86111111,10.41666667,10.72222222,10.86111111,10.41666667,4.333333333,5.777777778,8.5,3.666666667,6.388888889,7.666666667,5.111111111,6.138888889,8.416666667
0.15,10.72222222,10.91666667,10.52777778,10.72222222,10.91666667,10.52777778,4.5,5.777777778,8.388888889,3.583333333,6.333333333,7.611111111,5.055555556,6.25,8.166666667
0.16,10.77777778,11.02777778,10.63888889,10.77777778,11.02777778,10.63888889,4.5,5.555555556,8.444444444,3.472222222,6.138888889,7.388888889,5.055555556,6.361111111,8.194444444
0.17,10.88888889,10.86111111,10.58333333,10.88888889,10.86111111,10.58333333,4.611111111,5.777777778,8.333333333,3.416666667,6.083333333,7.222222222,4.972222222,6.527777778,8.388888889
0.18,10.83333333,10.86111111,10.58333333,10.83333333,10.86111111,10.58333333,4.611111111,5.722222222,8.5,3.361111111,6.138888889,7.333333333,4.944444444,6.555555556,8.277777778
0.19,10.83333333,11.08333333,10.41666667,10.83333333,11.08333333,10.41666667,4.555555556,5.888888889,8.5,3.361111111,5.916666667,7.444444444,4.777777778,6.611111111,8.277777778
0.2,10.83333333,11.08333333,10.41666667,10.83333333,11.08333333,10.41666667,4.555555556,5.888888889,8.5,3.25,6.027777778,7.555555556,4.722222222,6.611111111,8.222222222
0.21,10.72222222,11.16666667,10.55555556,10.72222222,11.16666667,10.55555556,4.611111111,5.888888889,8.333333333,3.361111111,5.916666667,7.611111111,4.722222222,6.666666667,8
0.22,10.77777778,11.05555556,10.66666667,10.77777778,11.05555556,10.66666667,4.611111111,5.833333333,8.333333333,3.305555556,5.972222222,7.611111111,4.722222222,6.611111111,8
0.23,10.77777778,11.05555556,10.61111111,10.77777778,11.05555556,10.61111111,4.833333333,5.833333333,8.527777778,3.305555556,5.916666667,7.611111111,4.666666667,6.527777778,7.888888889
0.24,10.75,11.05555556,10.66666667,10.75,11.05555556,10.66666667,4.944444444,5.888888889,8.555555556,3.305555556,5.861111111,7.555555556,4.722222222,6.444444444,7.777777778
0.25,10.77777778,11.22222222,10.44444444,10.77777778,11.22222222,10.44444444,5.111111111,5.944444444,8.5,3.361111111,5.694444444,7.555555556,4.833333333,6.388888889,7.722222222
0.26,10.61111111,11.33333333,10.44444444,10.61111111,11.33333333,10.44444444,5.055555556,5.888888889,8.555555556,3.472222222,5.694444444,7.555555556,4.888888889,6.444444444,7.666666667
0.27,10.61111111,11.44444444,10.27777778,10.61111111,11.44444444,10.27777778,5.055555556,6,8.5,3.583333333,5.694444444,7.444444444,4.888888889,6.555555556,7.611111111
0.28,10.5,11.33333333,10.55555556,10.5,11.33333333,10.55555556,5.111111111,6,8.666666667,3.527777778,5.638888889,7.277777778,4.944444444,6.444444444,7.611111111
0.29,10.72222222,11.22222222,10.5,10.72222222,11.22222222,10.5,5.222222222,6.055555556,8.666666667,3.527777778,5.638888889,7.111111111,4.888888889,6.388888889,7.611111111
0.3,10.66666667,11.22222222,10.61111111,10.66666667,11.22222222,10.61111111,5.222222222,6.166666667,8.722222222,3.527777778,5.472222222,7,4.833333333,6.444444444,7.611111111
0.31,10.61111111,11.38888889,10.77777778,10.61111111,11.38888889,10.77777778,5.277777778,6.166666667,8.944444444,3.305555556,5.083333333,6.666666667,4.777777778,6.5,7.722222222
0.32,10.72222222,11.38888889,10.61111111,10.72222222,11.38888889,10.61111111,5.333333333,6.333333333,8.972222222,3.333333333,4.972222222,6.555555556,4.888888889,6.5,7.666666667
0.33,10.77777778,11.44444444,10.61111111,10.77777778,11.44444444,10.61111111,5.444444444,6.277777778,8.861111111,3.361111111,4.916666667,6.444444444,4.888888889,6.444444444,7.694444444
0.34,10.72222222,11.38888889,10.66666667,10.72222222,11.38888889,10.66666667,5.444444444,6.277777778,8.944444444,3.361111111,4.916666667,6.388888889,4.833333333,6.5,7.777777778
0.35,10.72222222,11.38888889,10.72222222,10.72222222,11.38888889,10.72222222,5.388888889,6.444444444,8.944444444,3.416666667,4.805555556,6.388888889,4.777777778,6.444444444,7.722222222
0.36,10.61111111,11.38888889,10.72222222,10.61111111,11.38888889,10.72222222,5.555555556,6.555555556,8.888888889,3.361111111,4.75,6.388888889,4.777777778,6.555555556,7.722222222
0.37,10.61111111,11.33333333,10.61111111,10.61111111,11.33333333,10.61111111,5.888888889,6.611111111,8.777777778,3.361111111,4.75,6.388888889,4.833333333,6.555555556,7.722222222
0.38,10.66666667,11.27777778,10.61111111,10.66666667,11.27777778,10.61111111,5.888888889,6.777777778,8.777777778,3.194444444,4.75,6.388888889,4.777777778,6.611111111,7.722222222
0.39,10.66666667,11.22222222,10.66666667,10.66666667,11.22222222,10.66666667,6,6.777777778,8.777777778,3.166666667,4.777777778,6.388888889,4.777777778,6.611111111,7.611111111
0.4,10.55555556,11.22222222,10.77777778,10.55555556,11.22222222,10.77777778,6.055555556,6.777777778,8.722222222,3.083333333,4.916666667,6.277777778,4.777777778,6.666666667,7.611111111
